phone_id,n_network_technology,n_body_weight,n_display_type,n_display_size,n_micro_sdcard,n_sound_3p5mm,n_bluetooth,n_gps,n_comms_usb,n_usb_conn,n_fingerprint,n_android_ver,n_main_camera_resolution,n_main_camera_af,n_main_camera_ois,n_battery_capacity,n_total_cpu_speed,n_internal_memory,n_ram
1,4,146,2,5.71,1,1,5,1,2,2,0,9,13,1,0,3020,8,64,3
2,4,480,2,10.4,1,0,5.1,1,2,3,0,10,13,1,0,7250,20,64,6
3,4,144,0,5.45,1,1,5,1,2,2,0,10,8,1,0,3020,16,32,2
4,4,150,2,6.09,1,1,4.2,1,2,2,1,9,13,1,0,3020,18.4,64,3
5,5,146,2,5.71,1,1,5,1,2,2,0,9,13,1,0,3020,16,32,2
6,4,146,2,5.71,1,1,5,1,2,2,0,9,13,1,0,3020,8,32,2
7,4,150,2,5.7,1,1,5,1,2,2,1,8.1,13,1,0,3075,11.2,64,4
8,4,310,2,8,1,1,5,1,2,2,0,10,5,0,0,5100,16,16,2
9,4,450,2,10.4,1,0,5.1,1,2,3,0,10,8,1,0,7250,17.6,64,4
10,4,460,2,10.8,1,0,5.1,1,3.1,3,0,10,13,1,0,7250,22.4,128,6
11,3,460,2,10.8,1,0,5.1,1,3.1,3,0,10,13,1,0,7250,22.4,128,6
12,4,234,2,5,1,1,5,1,2,2,1,10,13,1,0,4000,7.2,16,2
13,4,163,2,6.22,1,1,5,1,2,2,0,8.1,8,1,0,4030,8,16,2
14,4,163,2,6.22,1,1,5,1,2,2,0,8.1,13,1,0,4030,16,16,2
15,4,160,2,5.67,1,1,4.2,1,2,2,0,9,13,1,0,2920,8,16,2
16,3,133,1,5,1,1,4,1,2,2,0,9.1,5,0,0,2000,5.2,16,1
17,4,165,2,6.09,1,1,4.2,1,2,3,1,9,16,1,0,3200,8,32,3
18,4,215,3,6.65,1,1,5,1,3.1,3,1,9,48,1,0,5000,23.2,128,8
19,4,157,2,5.45,1,1,4.2,1,2,2,0,9,13,1,0,2600,12.8,16,2
20,4,144,2,5,1,1,4.2,1,2,2,0,9,8,1,0,2000,5.6,16,1
21,5,144,2,5,1,1,4.2,1,2,2,0,9,8,1,0,2000,5.2,16,1
22,4,215,3,6.65,1,1,5,1,2,3,1,9,48,1,0,5000,22.4,64,6
23,4,135,2,5.45,1,1,4.2,1,2,2,1,8.1,13,1,0,3200,5.6,16,2
24,4,146,2,6.01,1,1,4.2,1,2,2,0,9,16,1,0,3200,16,32,2
25,4,146,2,5.71,1,1,5,1,2,2,0,9,13,1,0,3020,8,64,3
26,4,480,2,10.4,1,0,5.1,1,2,3,0,10,13,1,0,7250,20,64,6
27,4,144,0,5.45,1,1,5,1,2,2,0,10,8,1,0,3020,16,32,2
28,4,150,2,6.09,1,1,4.2,1,2,2,1,9,13,1,0,3020,18.4,64,3
29,5,146,2,5.71,1,1,5,1,2,2,0,9,13,1,0,3020,16,32,2
30,4,146,2,5.71,1,1,5,1,2,2,0,9,13,1,0,3020,8,32,2
31,4,150,2,5.7,1,1,5,1,2,2,1,8.1,13,1,0,3075,11.2,64,4
32,4,310,2,8,1,1,5,1,2,2,0,10,5,0,0,5100,16,16,2
33,4,450,2,10.4,1,0,5.1,1,2,3,0,10,8,1,0,7250,17.6,64,4
34,3,460,2,10.8,1,0,5.1,1,3.1,3,0,10,13,1,0,7250,22.4,128,6
35,3,460,2,10.8,1,0,5.1,1,3.1,3,0,10,13,1,0,7250,22.4,128,6
36,4,498,2,10.8,1,1,5,1,2,3,1,9,13,1,0,7500,20.8,64,4
37,4,340,2,8.4,1,0,5,1,2,3,0,9,13,1,0,6100,20.8,128,6
38,3,320,2,8.4,1,0,5,1,2,3,0,9,13,1,0,6100,20.8,64,4
39,4,149,2,5,1,1,4,1,2,2,0,4.4,5,1,0,2000,4.8,4,1
40,3,149,0,5,1,1,4,1,2,2,0,4.4,5,1,0,2000,4.8,4,1
41,3,327,2,8,1,1,4,1,2,2,0,4.4,5,1,0,4100,4.8,8,1
42,4,131,1,4.65,1,1,4,1,2,2,0,4.1,8,1,0,2100,6,4,1
43,4,143,2,4.7,1,1,4,1,2,2,0,4.2,8,1,0,1800,5.2,8,1
44,4,210,2,5,1,1,4,1,2,2,0,7,8,1,0,4000,5.2,16,2
45,4,155,2,5.2,1,1,4.2,1,1,3,1,6,13,1,0,3000,14.4,128,6
46,4,155,2,5.2,1,1,4.2,1,1,3,1,6,13,1,0,2950,14.4,64,4
47,3,223,2,5,1,1,4,1,2,2,0,7,8,1,0,3500,6,32,3
48,3,193,2,5.5,1,1,4,1,3,3,1,6,20,1,0,2950,16,64,4
49,3,154,2,5,1,1,4,1,2,2,0,5.1,13,1,0,2100,4.8,8,1
50,4,160,2,5,1,1,4,1,2,2,0,4.4,8,1,0,2000,4.8,8,1
51,4,142,2,5,1,1,4,1,2,2,0,4.4,16,1,0,2700,12,16,2
52,4,232,2,6.4,1,1,3,1,2,2,0,4.2,8,1,0,2800,5.2,4,1
53,4,140,2,5,1,1,4,1,2,2,0,4.2,8,1,0,2000,13.6,8,1
54,4,160,2,5,1,1,4,1,2,2,0,4.3,8,1,0,2000,4.8,8,1
55,4,140,2,4.5,1,1,4,1,2,2,0,4.3,5,1,0,1850,4.8,4,1
56,4,140,2,5.45,1,1,4,1,2,2,0,8,13,1,0,3000,11.2,16,2
57,4,147,3,5.2,1,1,4.2,1,3,3,1,7,23,1,1,3000,8.4,32,4
58,4,144,2,5.5,1,1,4.1,1,2,2,1,7,13,1,0,3000,11.2,32,3
59,4,144,2,5.5,1,1,4.1,1,2,2,1,7,16,1,0,3000,11.2,64,4
60,4,306,2,7.9,1,1,4.2,1,1,3,0,7,13,1,0,4680,14.4,16,3
61,4,175,2,5.2,1,1,4,1,2,2,1,7,13,1,0,5000,12,32,3
