phone_id,n_body_weight,n_display_size,n_battery_capacity,n_total_cpu_speed,n_ram,n_main_camera_resolution,n_internal_memory,cluster
1,146,5.71,3020,8,3,13,64,2
2,480,10.4,7250,20,6,13,64,3
3,144,5.45,3020,16,2,8,32,2
4,150,6.09,3020,18.4,3,13,64,3
5,146,5.71,3020,16,2,13,32,2
6,146,5.71,3020,8,2,13,32,1
7,150,5.7,3075,11.2,4,13,64,3
8,310,8,5100,16,2,5,16,3
9,450,10.4,7250,17.6,4,8,64,3
10,460,10.8,7250,22.4,6,13,128,3
11,460,10.8,7250,22.4,6,13,128,3
12,234,5,4000,7.2,2,13,16,1
13,163,6.22,4030,8,2,8,16,2
14,163,6.22,4030,16,2,13,16,2
15,160,5.67,2920,8,2,13,16,1
16,133,5,2000,5.2,1,5,16,0
17,165,6.09,3200,8,3,16,32,2
18,215,6.65,5000,23.2,8,48,128,3
19,157,5.45,2600,12.8,2,13,16,2
20,144,5,2000,5.6,1,8,16,0
21,144,5,2000,5.2,1,8,16,0
22,215,6.65,5000,22.4,6,48,64,3
23,135,5.45,3200,5.6,2,13,16,1
24,146,6.01,3200,16,2,16,32,2
25,146,5.71,3020,8,3,13,64,2
26,480,10.4,7250,20,6,13,64,3
27,144,5.45,3020,16,2,8,32,2
28,150,6.09,3020,18.4,3,13,64,3
29,146,5.71,3020,16,2,13,32,2
30,146,5.71,3020,8,2,13,32,1
31,150,5.7,3075,11.2,4,13,64,3
32,310,8,5100,16,2,5,16,3
33,450,10.4,7250,17.6,4,8,64,3
34,460,10.8,7250,22.4,6,13,128,3
35,460,10.8,7250,22.4,6,13,128,3
36,498,10.8,7500,20.8,4,13,64,3
37,340,8.4,6100,20.8,6,13,128,3
38,320,8.4,6100,20.8,4,13,64,3
39,149,5,2000,4.8,1,5,4,0
40,149,5,2000,4.8,1,5,4,0
41,327,8,4100,4.8,1,5,8,2
42,131,4.65,2100,6,1,8,4,0
43,143,4.7,1800,5.2,1,8,8,0
44,210,5,4000,5.2,2,8,16,1
45,155,5.2,3000,14.4,6,13,128,3
46,155,5.2,2950,14.4,4,13,64,3
47,223,5,3500,6,3,8,32,1
48,193,5.5,2950,16,4,20,64,3
49,154,5,2100,4.8,1,13,8,0
50,160,5,2000,4.8,1,8,8,0
51,142,5,2700,12,2,16,16,2
52,232,6.4,2800,5.2,1,8,4,1
53,140,5,2000,13.6,1,8,8,1
54,160,5,2000,4.8,1,8,8,0
55,140,4.5,1850,4.8,1,5,4,0
56,140,5.45,3000,11.2,2,13,16,2
57,147,5.2,3000,8.4,4,23,32,2
58,144,5.5,3000,11.2,3,13,32,2
59,144,5.5,3000,11.2,4,16,64,3
60,306,7.9,4680,14.4,3,13,16,3
61,175,5.2,5000,12,3,13,32,2
62,490,9.7,7800,8.4,4,8,32,3
63,320,7.9,4680,8.4,4,8,32,2
64,150,5,2600,4,2,13,16,1
65,151,5.5,3000,16,4,16,64,3
66,490,9.7,7800,8.4,3,8,32,3
67,148,5.2,4130,4.8,3,13,32,1
68,144,5.2,2600,16,4,16,64,3
69,158,5.2,4100,5.2,3,13,32,1
70,155,5.5,3000,16,4,16,64,3
71,135,4.5,2070,4.8,1,8,8,0
72,153,5,2500,4.8,2,8,16,1
73,133,4.5,1600,5.2,1,5,8,0
74,140,5,2070,5.2,2,8,16,0
75,190,6,3000,13.6,2,13,16,2
76,190,6,3000,13.6,2,13,16,2
77,170,5.5,3000,4.8,3,13,32,1
78,155,5,2500,3.2,1,8,8,0
79,156,5.5,3030,13.6,3,13,32,2
80,155,5,2500,3.2,2,8,16,0
81,170,5.5,3000,7.2,2,13,16,1
82,150,4.5,2100,2.4,1,5,8,0
83,148,4.5,2060,3.2,1,5,8,0
84,134,4.5,1750,2.4,1,8,8,0
85,150,5,2300,9.2,2,13,16,1
86,150,5,2300,9.2,2,13,16,1
87,145,5,2110,2.4,2,8,8,0
88,150,4.5,2060,3.2,1,5,8,0
89,116,4,1170,3.2,1,8,8,0
90,105,4.3,1500,5.6,1,8,16,0
91,128,4.5,1840,4.8,1,8,4,0
92,135,5,2520,4.8,2,13,16,1
93,167,5.5,4000,16,4,12,32,3
94,178,5.5,3000,5.6,4,13,32,2
95,180,4.5,3500,16,4,12,64,3
96,165,5.5,3000,8.4,4,21,32,2
97,135,5.2,2610,12,3,13,16,2
98,192,5.4,3410,8.4,3,18,32,2
99,170,5,2800,3,2,8,16,0
100,140,3.1,2100,3,2,8,64,0
101,196,4.5,3450,8.8,3,13,32,2
102,177,3.5,2515,3,2,8,16,0
103,164,5,2500,2.4,1.5,5,8,0
104,170,5,2880,3.4,2,8,16,1
105,120,3.1,2180,2.4,2,5,8,0
106,137,4.2,1800,3,2,8,16,0
107,139,3.1,2100,3,2,8,16,0
108,153,5,2000,5.6,1,5,8,0
109,203,5.5,2500,5.6,1,8,16,1
110,145,5,2000,5.2,1,5,8,0
111,126,5.2,2000,5.2,1,8,16,0
112,167,5.5,2500,5.2,1,8,16,0
113,154,5.34,2500,5.2,1,8,16,0
114,184,5.7,3000,10.4,3,13,32,2
115,159,5.5,2850,5.2,1,8,8,1
116,143,5.5,3000,5.2,3,13,32,1
117,173,6,4000,5.2,2,13,16,1
118,169,6,3000,5.6,3,13,32,1
119,140,5,2000,5.2,2,8,16,0
120,160,5.5,3000,5.2,2,12,16,1
121,174,5.7,3000,5.2,1,13,16,1
122,180,5.5,4010,16,4,13,64,3
123,152,5,3000,11.2,4,13,64,2
124,150,5,2000,5.2,1,8,16,0
125,142,5.5,3150,10.4,3,13,32,2
126,207,6,3500,16,3,24,64,3
127,177,6,3000,5.2,1,8,8,1
128,180,5,5000,5.2,1,8,8,1
129,154,5,2100,5.2,1,8,8,0
130,97,4.8,2100,13.6,1,8,16,1
131,177,6,3200,6.4,2,13,16,1
132,164,5,2200,4.8,1,13,8,0
133,299,7,3000,2.6,1,5,8,1
134,166,5,2000,5.2,1,8,4,0
135,129,5,2300,13.6,2,13,16,2
136,136,5,2000,13.6,1,8,8,1
137,152,5.5,2500,8.8,3,16,32,2
138,155,5,2000,5.2,1,8,4,0
139,166,5.5,2350,5.2,1,8,4,0
140,149,4.5,3000,6,1,8,16,0
141,135,4.8,2000,6,1,8,16,0
142,404,8,4500,4.8,1,5,8,2
143,109,4.7,1800,5.2,1,8,4,0
144,144,5,2000,6,1,12,4,0
145,150,5,2000,4.8,1,8,8,0
146,150,5,2000,5.2,1,13,8,0
147,135,5.45,2670,5.2,2,8,16,1
148,199,6,5000,11.2,4,13,64,3
149,166,5.2,4000,6,3,13,16,2
150,161,5.3,4000,10.4,3,13,32,2
151,151,5.2,3100,5.6,4,13,32,2
152,182,5.5,4010,16,4,13,64,3
153,162,5.3,4000,12,4,13,32,2
154,167,5,2300,5.2,2,8,16,1
155,183,5.5,3100,17.6,3,13,32,3
156,166,5.5,3150,10.4,3,13,32,2
157,170,5.5,3130,14.4,4,13,64,3
158,153,4.5,1800,5.2,1,5,8,0
159,207,4.2,2530,16,4,16,64,3
160,147,5.5,3000,15.2,4,16,64,3
161,200,5.5,5000,4,3,8,16,2
162,208,6,5020,10.4,3,13,64,2
163,183,5,4000,5.2,3,8,32,1
164,153,5,2000,5.2,1,5,16,0
165,147,5.5,3150,10.4,3,13,32,2
166,136,5,2400,5.2,2,8,16,0
167,210,6,3500,16,3,24,64,3
168,176,5,5000,5.2,2,8,16,1
169,211,5.5,6020,5.2,3,13,32,2
170,125,5.2,2700,13.6,2,13,16,2
171,180,5,5000,5.2,1,8,8,1
172,97,4.8,2050,13.6,1,8,16,1
173,150,5,1950,5.2,1,5,8,0
174,133,5,2300,13.6,2,13,16,2
175,160,5.5,3000,11.2,3,13,32,2
176,150,6.09,3020,18.4,3,13,64,3
177,310,8,5100,17.6,4,8,64,3
178,142,5.45,3020,6,2,13,16,1
179,145,5.2,3000,12,3,13,32,2
180,143,5,3020,12,3,13,32,2
181,145,5.09,2900,18.4,4,12,64,3
182,170,5.7,3500,18.4,4,12,32,3
183,168,5.5,3100,9.6,2,13,16,1
184,140,5,2200,4,2,13,16,0
185,156,5.2,3000,16,2,13,16,2
186,160,5,4000,5.2,2,13,16,1
187,158,5.5,3000,9.6,2,13,16,1
188,160,5.2,3100,13.6,3,13,32,2
189,162,5,2550,9.6,2,13,8,1
190,165,5.5,3000,9.6,2,13,8,1
191,156,5,2000,5.2,1,8,16,0
192,160,5,2000,4.8,1,8,8,0
193,156,5,2000,5.2,1,8,16,0
194,140,5,2300,6.4,1,8,8,0
195,195,5.96,4150,8.4,4,16,64,2
196,160,6,3000,4.8,1,8,16,1
197,305,6.95,3000,5.2,1,5,8,1
198,239,7,5000,6.4,2,13,16,2
199,325,7,4100,4.8,1,5,16,1
200,160,6,3000,4.8,1,5,16,1
